id,name,alt,path
838,RU_WebHome_Infobox_FacultyMediaExperts-900x675,Image of a polling place sign,Images/900x675-infoboxes/RU_WebHome_Infobox_FacultyMediaExperts-900x675.jpg
839,RU_WebHome_Infobox_SteveSchapiro-ExhibitGageReopening-900x675,Steve Schapiro exhibit at Gage Gallery reopening Oct 2018,Images/900x675-infoboxes/RU_WebHome_Infobox_SteveSchapiro-ExhibitGageReopening-900x675.jpg
840,RU_WebHome_Infobox-ADClogo-900x675,ADC2018 Logo sized for infobox,Images/900x675-infoboxes/RU_WebHome_Infobox-ADClogo-900x675.jpg
841,RU_WebHome_Infobox-GoVote-sign-900x675,Go vote lawn sign,Images/900x675-infoboxes/RU_WebHome_Infobox-GoVote-sign-900x675.jpg
842,RU-Oasis-Inclusion-has-no-borders,RU Oasis: Inclusion has no borders,Images/900x675-infoboxes/RU-Oasis-Inclusion-has-no-borders.jpg
843,RU-summer-session,RU summer session,Images/900x675-infoboxes/RU-summer-session.jpg
844,RU-Web-About-Us-Facts-And-Figures-10,"4,457 total students",Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-10.jpg
845,RU-Web-About-Us-Facts-And-Figures-11,120+ degree programs,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-11.jpg
846,RU-Web-About-Us-Facts-And-Figures-12,11 to 1 student/faculty ratio,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-12.jpg
847,RU-Web-About-Us-Facts-And-Figures-2,About Us -Facts And Figures #2,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-2.jpg
848,RU-Web-About-Us-Facts-And-Figures-3,Sixth-best residence hall in Illinois (Niche College Rankings 2018),Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-3.jpg
849,RU-Web-About-Us-Facts-And-Figures-4,Third most ethnically diverse college in the midwest (U.S. News & World Report 2018),Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-4.jpg
850,RU-Web-About-Us-Facts-And-Figures-5,About Us -Facts And Figures,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-5.jpg
851,RU-Web-About-Us-Facts-And-Figures-6,About Us -Facts And Figures,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-6.jpg
852,RU-Web-About-Us-Facts-And-Figures-7,infographic - About Us -Facts And Figures,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-7.jpg
853,RU-Web-About-Us-Facts-And-Figures-8,50+ Student Organizations,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-8.jpg
854,RU-Web-About-Us-Facts-And-Figures-9,infographic - About Us -Facts And Figures,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures-9.jpg
855,RU-Web-About-Us-Facts-And-Figures,infographic #1,Images/900x675-infoboxes/RU-Web-About-Us-Facts-And-Figures.jpg
856,RU-Web-Admission-Step-1,RU Web Admission- Step 1,Images/900x675-infoboxes/RU-Web-Admission-Step-1.jpg
